Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"73369936";"1";"Raiffeisenbank Seeg -alt-";"87637";"Seeg";"Raiffeisenbank Seeg -alt-";"67980";"GENODEF1SER";"88";"029605";"U";"0";"00000000"
"73369954";"1";"Raiffeisenbank Wald-Görisried";"87616";"Wald";"Raiffbk Wald-Görisried";"67988";"GENODEF1WGO";"88";"029744";"U";"0";"00000000"
"73370008";"1";"Deutsche Bank";"87404";"Kempten (Allgäu)";"Deutsche Bank";"27225";"DEUTDEMM733";"63";"005725";"U";"0";"00000000"
"73370024";"1";"Deutsche Bank";"87404";"Kempten (Allgäu)";"Deutsche Bank";"21225";"DEUTDEDB733";"63";"050328";"U";"0";"00000000"
"73380004";"1";"Commerzbank vormals Dresdner Bank";"87404";"Kempten (Allgäu)";"Commerzbank Kempten";"28733";"DRESDEFF733";"76";"005548";"U";"0";"00000000"
"73390000";"1";"Allgäuer Volksbank Kempten-Sonthofen";"87416";"Kempten (Allgäu)";"Allgäuer Volksbank";"97011";"GENODEF1KEV";"88";"022188";"U";"0";"00000000"
"73392000";"1";"Volksbank Immenstadt";"87509";"Immenstadt i. Allgäu";"Volksbank Immenstadt";"97110";"GENODEF1IMV";"88";"022153";"U";"0";"00000000"
"73420071";"1";"UniCredit Bank - HypoVereinsbank";"87600";"Kaufbeuren";"UniCredit Bank-HypoVereinbk";"22042";"HYVEDEMM427";"99";"000103";"U";"0";"00000000"
"73421478";"1";"UniCredit Bank - HypoVereinsbank";"86951";"Schongau";"UniCredit Bank-HypoVereinbk";"22078";"HYVEDEMM666";"99";"000105";"U";"0";"00000000"
"73440048";"1";"Commerzbank";"87600";"Kaufbeuren";"Commerzbank KB F-K48";"24747";"COBADEFFXXX";"13";"055613";"U";"0";"00000000"
"73450000";"1";"Kreis- und Stadtsparkasse Kaufbeuren -alt-";"87600";"Kaufbeuren";"Kr u St Spk Kaufbeuren -alt";"57129";"BYLADEM1KFB";"00";"009592";"U";"0";"00000000"
"73451450";"1";"Kreissparkasse Schongau -alt-";"82362";"Weilheim i. OB";"Kr Spk Schongau -alt-";"57158";"BYLADEM1SOG";"00";"007837";"U";"0";"00000000"
"73480013";"1";"Commerzbank vormals Dresdner Bank";"87572";"Kaufbeuren";"Commerzbank Kaufbeuren";"28734";"DRESDEFF734";"76";"008631";"U";"0";"00000000"
"74020074";"1";"UniCredit Bank - HypoVereinsbank";"94002";"Passau";"UniCredit Bank-HypoVereinbk";"22068";"HYVEDEMM445";"99";"000107";"U";"0";"00000000"
"74020100";"1";"Raiffeisenlandesbank OÖ Zndl Süddeutschland";"80333";"München";"RLB OÖ Zndl Süddeutschland";"29100";"RZOODE77XXX";"60";"046767";"U";"0";"00000000"
"74020150";"1";"Raiffeisenlandesbank OÖ Zndl Südde - für interne Zwecke";"80333";"München";"RLB OÖ Zndl Süddeutschland";;"RZOODE77050";"60";"056411";"U";"0";"00000000"
"74040082";"1";"Commerzbank Passau";"94032";"Passau";"Commerzbank Passau";"24752";"COBADEFFXXX";"13";"010247";"U";"0";"00000000"
"74050000";"1";"Sparkasse Passau";"94014";"Passau";"Spk Passau";"57293";"BYLADEM1PAS";"00";"008730";"U";"0";"00000000"
